id	label	prediction	aggressive_probability	non-aggressive_probability	text
15099		non-aggressive	0.065	0.935	SaluteToShay goodmorning ❤️ fb 😉
15100		non-aggressive	0.079	0.921	Me and Elexus chillin rn 👌
15101		non-aggressive	0.147	0.853	Yeah the past is the past but have that shit happen to you Then tell me how youll see things from that point on
15102		non-aggressive	0.163	0.837	Catch a Opp whack a Opp nigga man down
15103		non-aggressive	0.066	0.934	pouloskatie youre nasty and probably go herpes
15104		non-aggressive	0.033	0.967	My mom has to hurry up amp pick me up
15105		non-aggressive	0.027	0.973	THE REAL Gladys Knight and the Temptations review will be across the street at the Chicago theatre in May  motown is all UP in Chicago
15106		non-aggressive	0.011	0.989	jacobervin21 happy birthday to the coolest guy evaaaaa I love and miss you oh so much TakeAShotForMe
15107		non-aggressive	0.05	0.95	Reading is so gay
15108		non-aggressive	0.13	0.87	Im curvy  No Youre stick thin with fake tits Theres a difference
15109		non-aggressive	0.043	0.957	“ThatNiggaOIaf I cant wait for summer omg 😋 httpstcoOXq8F5IA2k” this part always gets to me 😂
15110		non-aggressive	0.058	0.942	Its always great in the beginning tho isnt itexpecially wen yall have great sex chemistryu be feeling like its a sealed deal already
15111		non-aggressive	0.054	0.946	who wants to go see vampireweekend with me
15112		non-aggressive	0.043	0.957	Not a bad way to start my birthday lt3  Palmer Square Park httptcoJSutdB0yjq
15113		non-aggressive	0.028	0.972	I left my brace at home 😫😫😫😫
15114		non-aggressive	0.038	0.962	I could definitely go for a fattttt doobie right now
15115		non-aggressive	0.032	0.968	No homo Dark Horse by Katy Perry might have the greatest beat ever created
15116		non-aggressive	0.027	0.973	I need my hair done
15117		non-aggressive	0.056	0.944	Talkin about buses streetcars trains and what to do about those urban highways ELPCenter transit advocates annual meeting
15118		non-aggressive	0.051	0.949	Im at Theios Restaurant Lansing MI httptcoMG3l5G5V95
15119		non-aggressive	0.221	0.779	Kill em all rolls royce ghost nigga ball  rickyrozay
15120		non-aggressive	0.469	0.531	it aint nun to cut that bitch off
15121		non-aggressive	0.047	0.953	I could cry right now
15122		non-aggressive	0.023	0.977	its so funny to see arivelazquez13 suffer from a serious case of postconcert depression
15123		non-aggressive	0.02	0.98	Walking behind the kid with dreds after 3rd period every day just makes my entire day😂😂😂
15124		non-aggressive	0.073	0.927	Never being a parts guy Ever
15125		non-aggressive	0.056	0.944	Happy π Day  D π pi PiDay
15126		non-aggressive	0.035	0.965	this girl has on some snow boots 😱😂
15127		non-aggressive	0.038	0.962	TheDamonHart I feel it man WeAreSV
15128		non-aggressive	0.029	0.971	The Degrassi generation I grew up with is so much better than the current one Like come on Craig was a total hottie
15129		non-aggressive	0.036	0.964	Idfk know but my snap chats to oomf are funny k
15130		non-aggressive	0.027	0.973	Omg cant wait to talk to kbeamy today she is going to die when I tell her this story
15131		non-aggressive	0.04	0.96	buy these so I know its real 💋 httptco2n8Vs05hlS
15132		non-aggressive	0.078	0.922	Im definitely going to overheat when I get to California
15133		non-aggressive	0.084	0.916	“MiaGiovanna httpstco7li8ofdCOF” Im crynig
15134		non-aggressive	0.093	0.907	TO BAD IM ON FUCKING PROBATION 🔫
15135		non-aggressive	0.051	0.949	alexamirandola HAPPY BIRTHDAY BEAUTIFUL😘🎉💕
15136		non-aggressive	0.053	0.947	Fuckin cant wait for florida schoolboy q and movement
15137		non-aggressive	0.131	0.869	relationships are like windows its better to keep them closed even if you just want to feel the breeze
15138		non-aggressive	0.134	0.866	If this doesnt define us I dont know what does samanthabarone throwback timehop httptcoOkgqVeMWzr
15139		non-aggressive	0.083	0.917	When people I went to school with and have never talked to message me Its like ok what do you want
15140		non-aggressive	0.086	0.914	Like for a compliment
15141		non-aggressive	0.065	0.935	CookieSOFly goodmorning 😘 fb ❤️
15142		non-aggressive	0.093	0.907	GlockboyNumba4 stay where you at 💯  im not playing right now
15143		non-aggressive	0.078	0.922	But I crumble completely when you cry
15144		non-aggressive	0.076	0.924	mkprettygurl  love u
15145		non-aggressive	0.023	0.977	Hope my day at work flies by
15146		non-aggressive	0.066	0.934	“Pariii Fr riding the struggle bus” using my 💩 smh
15147		non-aggressive	0.075	0.925	DesireDaisha DeeBFLEE 😂😂😂aw yeah
15148		non-aggressive	0.095	0.905	Like nudes 📀
15149		non-aggressive	0.023	0.977	Im at 155 N Wacker Drive Chicago IL httptcok3gEcU2LrN
15150		non-aggressive	0.074	0.926	RxBethOnTheRun and since I am not racing I will definitely find you all for Chistyle side fives midrace
15151		non-aggressive	0.066	0.934	And I dont get to go out again this spring break 😭
15152		non-aggressive	0.031	0.969	landonredner makennarottman Thanks Donger lol youre the best
15153		non-aggressive	0.073	0.927	dlkinney Interesting I think I get it
15154		non-aggressive	0.028	0.972	I was born in the 90s  fck the 80s
15155		non-aggressive	0.03	0.97	Take a minute and soak all this in We are at state boys and girls
15156		non-aggressive	0.049	0.951	So long STL Delta taking me home once again PiDayFlyDay httptcoEZydCYcsP7
15157		non-aggressive	0.076	0.924	My whole life is a freewrite nate ollisun
15158		non-aggressive	0.167	0.833	Beystanfolife evabasler boldinsider I hope she flip Ali crazy ass over
15159		non-aggressive	0.067	0.933	Im never shaving my legs without completely wetting them 😩😩😩 the motherfucking struggle is real AF
15160		non-aggressive	0.138	0.862	I report so much spam Fuck them bitchez
15161		non-aggressive	0.054	0.946	Happy MagPi314 day ✌️
15162		non-aggressive	0.052	0.948	buy me these so I know its real💋 httptcohKIVSDFyac
15163		non-aggressive	0.105	0.895	Im kidding stupid
15164		non-aggressive	0.067	0.933	Lol fr tho happy birthday girl Hope you enjoy your day  TurnUp turndownforwhat roxieee57
15165		non-aggressive	0.057	0.943	iSpeakEllie did not know that
15166		non-aggressive	0.034	0.966	This really feels like Chapter 2 of my life
15167		non-aggressive	0.142	0.858	This TA subbing is Hot as Fuck 😍 keepmeafterclassplease whenareyourofficehours
15168		non-aggressive	0.066	0.934	brandonboutin Thanks to you Glad to be connected here Blessings on your ministry  lets stay in touch
15169		non-aggressive	0.044	0.956	Whos the best TE in the NFL
15170		non-aggressive	0.052	0.948	tayyymarrr thanks for the brews by the way p lololol ill havta buy you six pack one of these days
15171		non-aggressive	0.049	0.951	Play it again by Luke Bryan gtgtgtgt 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 inlove
15172		non-aggressive	0.059	0.941	One thing I hate about my job is that the people we hire are unreliable So then my job can try to make me work while Im in class 😒
15173		non-aggressive	0.104	0.896	Lmao DEVIN friends be going crazy over me
15174		non-aggressive	0.189	0.811	She a hot ass mess with this black lipstick on
15175		non-aggressive	0.041	0.959	morgankayyyy this makes me so sad but we will have so much fun 😏
15176		non-aggressive	0.024	0.976	The white guy sitting across from me is jammin to Drunk in love 😂
15177		non-aggressive	0.031	0.969	Got to my advisors office over 25 minutes early Sat and watched her talk to another advisor about vacations til the appointment time 😡
15178		non-aggressive	0.068	0.932	Todays friiiiday 👌😁
15179		non-aggressive	0.143	0.857	Lauren if you have a kid you should name it Nirvana  Janis 😂😂💗
15180		non-aggressive	0.043	0.957	Eduardo playing for the students lovemusic  Charlevoix High School httptcoVfV9OxA8c8
15181		non-aggressive	0.122	0.878	Please put your headphones in
15182		non-aggressive	0.409	0.591	Its Friday its payday and Im off til Monday Who wants to fuck shit up tonight Lmfao
15183		non-aggressive	0.085	0.915	Im dying httpstco1urhZGipje
15184		non-aggressive	0.046	0.954	Whyyyy is this week going so slow
15185		non-aggressive	0.016	0.984	Dexter is so good I want to cry
15186		non-aggressive	0.03	0.97	Bread Co bagels at work this morning Ill take that 😋
15187		non-aggressive	0.177	0.823	PatFahey24 Ciceroneorg Dude if you can smell that from your desk then those profiling classes are worth every penny
15188		non-aggressive	0.037	0.963	Good morning ☀️😘
15189		non-aggressive	0.09	0.91	These migraines are a no go for me Cant do it
15190		non-aggressive	0.043	0.957	Kevon always got put his lil 2 cents in  😂✋✋✋✋
15191		non-aggressive	0.101	0.899	Im tired as hell  man
15192		non-aggressive	0.163	0.837	It feels like Im going to be tweeting a lot more when everyone is gone because Im going to be bored af
15193		non-aggressive	0.04	0.96	Were my baby at
15194		non-aggressive	0.006	0.994	Mother Nature Chicago I take it back My birthday has snow on the ground and also beautiful weather to hopefully melt it all Well done
15195		non-aggressive	0.042	0.958	The birds are chirping this morning 🎶🐦
15196		non-aggressive	0.029	0.971	Wishing I was in Utah celebrating the beautiful bridetobe StephLyfe 💍👰💗 Party hard haleystella 😏
15197		non-aggressive	0.099	0.901	do something I dare you 😀
15198		non-aggressive	0.064	0.936	shannondavid17 youre beyond strong and I admire that
15199		non-aggressive	0.011	0.989	The fact that I have my Jeep back and can have my routine jam fest on my way to work is great HappyFriday
15200		non-aggressive	0.322	0.678	Omg I hate those kids who snitch on you for everything like gtfo you are a piece of shit 💩
15201		non-aggressive	0.118	0.882	ELPCenters H Learner theres a fundamental social change happening in how we get around
15202		non-aggressive	0.045	0.955	Im at SUPERCUTS Oak Lawn IL httptcoVIUC7pDTgQ
15203		non-aggressive	0.04	0.96	My baby wake up Every day around 9 sum
15204		non-aggressive	0.025	0.975	Just saw a guy wearing jean shorts guess thats what happens when its 45 degrees in chi
15205		non-aggressive	0.169	0.831	Theres about 3 people that arent related who Id fight ninjas for Fuck the rest of yall
15206		non-aggressive	0.065	0.935	NicoleBarnwelI CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15207		non-aggressive	0.015	0.985	“nfl Tom Brady is PUMPED  In 2014 theres no way Darrelle Revis can do THIS httptcosrtN0zHzMz NoRevisPicksForBrady”BostonNikki
15208		non-aggressive	0.128	0.872	My man still aint off work 😒 ion like the night shift
15209		non-aggressive	0.022	0.978	I feel bad for you guys actually lol
15210		non-aggressive	0.029	0.971	Well At least I can get a lot of stuff done today
15211		non-aggressive	0.028	0.972	JMV1070 o I figured crean would just step down and become an asst coach and let Woodson take over
15212		non-aggressive	0.038	0.962	I love being a woman I also really love pretending to be a man
15213		non-aggressive	0.032	0.968	Calibre 50 amp Banda carnaval coming this month cant fuckinnnn wait
15214		non-aggressive	0.075	0.925	My bro says he cant pick me up from the airport That bitch Im arriving at 10pm when his finals are done by 3pm that day
15215		non-aggressive	0.07	0.93	SeedsofChange pledgetoplant CH151
15216		non-aggressive	0.087	0.913	Really Me Too Aggressive
15217		non-aggressive	0.07	0.93	tayyymarrr ooooonly six more months
15218		non-aggressive	0.222	0.778	kristoferhiatt going to be saying that all week long sb2014 bitch
15219		non-aggressive	0.32	0.68	Who shit it your Cheerios today damn
15220		non-aggressive	0.093	0.907	Down south girls got them real big butts 😍❤️
15221		non-aggressive	0.028	0.972	Woke up so depressed this morning And Im going to be alone all day Damn lol
15222		non-aggressive	0.05	0.95	NewSATQuestion all of the above 😂
15223		non-aggressive	0.048	0.952	I have a track meet tomorrow In California D
15224		non-aggressive	0.056	0.944	juliaagreco thanks boo 😘
15225		non-aggressive	0.018	0.982	Big ups to ashryanwood for bringing the goodness today from goglazed SIC Happy early bday httptcofAWWfuItDw
15226		non-aggressive	0.034	0.966	life as we know it is such a good movie 😍😢👏👪
15227		non-aggressive	0.037	0.963	Spending some quality time with my favorite transportation people AA  American Airlines w 3 others httptco43Z3WgZXa6
15228		non-aggressive	0.04	0.96	One flight down one to go almostthere vacation Florida
15229		non-aggressive	0.049	0.951	These pants are so comfy I do not regret spending as much as I did on them
15230		non-aggressive	0.054	0.946	Hopefully I Get The Job 🙏
15231		non-aggressive	0.062	0.938	BFAMTAcceptance cause I have a few friends waiting
15232		non-aggressive	0.065	0.935	Dial69 CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15233		non-aggressive	0.041	0.959	At the mothership  ThoughtWorks w heyheysueellen httptcoh9AghrlbPF
15234		non-aggressive	0.064	0.936	Gym time ✌️
15235		non-aggressive	0.02	0.98	“I am the sugar at the bottom of the English cup of tea”  Stuart Hall Old and New Identities Old and New Ethnicities
15236		non-aggressive	0.03	0.97	that awkward moment when I think JMcCunn2 is JPriest10 on the phone😳
15237		non-aggressive	0.065	0.935	EPKpro CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15238		non-aggressive	0.114	0.886	theresawinnn well now I think you were being a dumb and just blocked it out of memory
15239		non-aggressive	0.035	0.965	Can I just lay in bed all day
15240		non-aggressive	0.017	0.983	I need someone to go see Demi with me today
15241		non-aggressive	0.073	0.927	youre funny when youre mad gtlt lol
15242		non-aggressive	0.039	0.961	Its literally impossible to teach myself anything when it comes to math
15243		non-aggressive	0.016	0.984	Komie17 new rule no more concerts in the winter and no more concerts on week days when one of us has class the next day
15244		non-aggressive	0.038	0.962	MannyRobinson my back started hurting really bad
15245		non-aggressive	0.037	0.963	just sent nicole and steph all the lyrics to whatcha say by jason derulo
15246		non-aggressive	0.072	0.928	sknaust8 cause Ive been out too much 😕
15247		non-aggressive	0.06	0.94	Shauneexoxo yeah that sounds good  you pick where lmaoo
15248		non-aggressive	0.04	0.96	Ha ha paper girl I found it winning httptcoTTUPbToaSX
15249		non-aggressive	0.057	0.943	Excited to spend today with my two favorite people on the planet familytime 💕👫🐶 three if you count Baxter littlebro
15250		non-aggressive	0.08	0.92	iSpeakEllie ok lemme check what all is out
15251		non-aggressive	0.025	0.975	Kinda wish I was heading back to ap this weekend
15252		non-aggressive	0.06	0.94	Its beautiful out
15253		non-aggressive	0.064	0.936	A fifth grader just passed me wearing pi earrings with the symbol drawn on her cheeks  soproud PiDay2014 PiDay
15254		non-aggressive	0.071	0.929	a little party httptcoXqtqGdjPVC
15255		non-aggressive	0.069	0.931	One hour left  👏☺️
15256		non-aggressive	0.065	0.935	When in doubt nap it out zzz
15257		non-aggressive	0.092	0.908	lvnlavidalohan thank you
15258		non-aggressive	0.191	0.809	You all bout her she all bout hers thats that nerve
15259		non-aggressive	0.184	0.816	Fuck it Im on setting something on fire
15260		non-aggressive	0.059	0.941	I jus got offered to be a pornstar lbs😎🌟
15261		non-aggressive	0.039	0.961	I hope your wisdom teeth thing went good See you later 💜💋 14haileyGentry loveyouuuu
15262		non-aggressive	0.057	0.943	mariahpaige thanks
15263		non-aggressive	0.073	0.927	Can we be done already
15264		non-aggressive	0.042	0.958	I cant wait for abiballou to be here saturday😍😍
15265		non-aggressive	0.07	0.93	HarshP3 LMAOOOOO httpstcoRumryH2mSh
15266		non-aggressive	0.022	0.978	So much to do today so little time
15267		non-aggressive	0.062	0.938	Joesphs new khaki pants 😻
15268		non-aggressive	0.103	0.897	jrgoldsticker miss you and the drive You are keeping the boxing boat movingif all else fails there are always cocktails
15269		non-aggressive	0.064	0.936	EPKpro CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN fwm
15270		non-aggressive	0.025	0.975	Shes the moon to my shine the whiskey in my water
15271		non-aggressive	0.029	0.971	Exactly three years ago today Girl Develop It Columbus was officially born httptcohQUIqXk8S2 Happy birthday gdicbus
15272		non-aggressive	0.344	0.656	tropical smoothie needs to come out with a buy 9 get your 10th one free punchcard or some shit bastards
15273		non-aggressive	0.064	0.936	Ordered our hoedown tickets 😝💙👍
15274		non-aggressive	0.055	0.945	Well she traded the wolf hat for a fedora Not much better
15275		non-aggressive	0.04	0.96	Having myself a cappachino and a morning monkey sandwich to start the day right httptcoNsda3tl6sZ
15276		non-aggressive	0.063	0.937	Im eating a slurpee I would like to apologize not only God but to Jesus
15277		non-aggressive	0.139	0.861	You want my lifestyle juss dont read the comments
15278		non-aggressive	0.253	0.747	rashonranda69 kjfpoundsign69 LetsChopCatz thats my bitch
15279		non-aggressive	0.106	0.894	Seriously the TSA guy was like If this test fails youll be here a little while and Im just like this is my first flight alone stop
15280		non-aggressive	0.17	0.83	dad want more money even tho i gave his as 75 yesterday  like yo as use to say to me You think im shittinn money
15281		non-aggressive	0.06	0.94	I like all my nick names  e edawgemoneyessie pooh 👌👌
15282		non-aggressive	0.01	0.99	WOW its 314 day pi day steak amp blowjob day ensteins birthday AND my favorite day of the year
15283		non-aggressive	0.034	0.966	SBarker69 sure am got my hair did to
15284		non-aggressive	0.083	0.917	amcgaughey5 we know Your snap chat stories tell it all 😳😂
15285		non-aggressive	0.176	0.824	How could someone be as stupid as you are
15286		non-aggressive	0.074	0.926	Miracle I did not wake up tired Im ready to get this shift over with😌
15287		non-aggressive	0.346	0.654	to me your nothing so I could give a fuck about what happens next
15288		non-aggressive	0.065	0.935	elzsplashy CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15289		non-aggressive	0.028	0.972	KelseyButler9 I actually do mean one its my long arm hair I call it Toto
15290		non-aggressive	0.098	0.902	I refuse to give respect to someone who doesnt respect me
15291		non-aggressive	0.044	0.956	CrownMEBITCH and I get on ya last nerve too 😂 but I love you too g ✊
15292		non-aggressive	0.054	0.946	dnunz3 I get to see you today daymade
15293		non-aggressive	0.104	0.896	TheRealUnclDrew so you cant see them
15294		non-aggressive	0.222	0.778	I have few real friends that I can trust with my life To the other pussies who dont think they need there boys anymore go fuck yourself✌️
15295		non-aggressive	0.063	0.937	LansingMarathon got in a run finally up here in Alpena 5K this weekend and ready to rock your half
15296		non-aggressive	0.021	0.979	Its Friday Im ready to have fun hope everyone enjoy their day cause I know I am😘😘  I can only be… httptcoXb0YV9m2LQ
15297		non-aggressive	0.039	0.961	chiefmchenry thanks for the follow
15298		non-aggressive	0.08	0.92	😴😴😴😴😴😴😴 brimarie659 Lmfaooo why are these girl on this team Barbie or I woke up like this bullshit Stoppppp Just stop
15299		non-aggressive	0.062	0.938	Lets keep on Rollin Rollin
15300		aggressive	0.702	0.298	ugly ass hoes  my school broke ass niggas  my school dirty ass hoes  my school fake ass niggas  my school thot ass bitches  my school
15301		non-aggressive	0.022	0.978	Sing with me its just for today maybe tomorrow the good Lord will take you away 👌
15302		non-aggressive	0.222	0.778	ASavage628 ✋ thats why youre tryna be nice n say you miss me I wont dumb
15303		non-aggressive	0.065	0.935	ChrisNoxx CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15304		non-aggressive	0.104	0.896	Your always the one to disappointment the most and hurt me the most
15305		non-aggressive	0.033	0.967	Finallyyyyy got my email to upgrade my phone Its about time
15306		non-aggressive	0.085	0.915	We look like boy scouts boobear0811
15307		non-aggressive	0.07	0.93	Weekdays SBlifestyle  Parliament httptcoxVjkV9LZRb
15308		non-aggressive	0.076	0.924	cant forget about elee
15309		non-aggressive	0.068	0.932	marky butt butt
15310		non-aggressive	0.022	0.978	I cant believe its been 6 years that weve been together Although we both have our ups and down… httptcoQgOQuWU2mc
15311		non-aggressive	0.313	0.687	Emo82Munoz allstar219 yall niggas snake me ur gonna see the deer antler
15312		non-aggressive	0.063	0.937	RIP REST IN PUSSY
15313		non-aggressive	0.009	0.991	Tbt to last year when I had a phone interview at the whit right after a 5 mile run Got the job
15314		non-aggressive	0.053	0.947	I got a thang for LondonEngland
15315		non-aggressive	0.037	0.963	thors22  Good Morning buddy
15316		non-aggressive	0.07	0.93	KarenGo16394141 Welcome to Twitter Karen Gould
15317		non-aggressive	0.017	0.983	SO to my swagged out bro thatfutureboy as he performs  March 28th at the Horseshoe Casino with… httptcoikRnfgwHI2
15318		non-aggressive	0.065	0.935	YoungDono100 CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15319		non-aggressive	0.075	0.925	Mferz Funny As Hell
15320		non-aggressive	0.032	0.968	Just got told I look hood today Well then
15321		non-aggressive	0.13	0.87	fureousangel you are fucking Steve Austin ET Trailrunning you can do it 6M
15322		non-aggressive	0.072	0.928	BlueRaspberry TestPowder USPlabs Strength MoreReps Growth get ya some today httptcoSzEtFdfudD TeamUSPlabs httptcoqtSOp4BVfp
15323		non-aggressive	0.088	0.912	DivaLicious29 I Dont Know
15324		non-aggressive	0.113	0.887	tpain voice i wanna buy you a blendeeer
15325		non-aggressive	0.065	0.935	RealYoungNero CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15326		non-aggressive	0.146	0.854	My  Brothers Finessing On Some Real Shit
15327		non-aggressive	0.172	0.828	Now you damn well when you out your pants on that when you say down your ankles were gonna show that being said yall need some lotion ✋
15328		non-aggressive	0.025	0.975	Of course the Richard Sherman and DeAngelo Hall twitter bs gets on FirstTake this morning
15329		non-aggressive	0.04	0.96	Monday you can fall apart Tuesday Wednesday break my heart thursday doesnt even start Its Friday Im in love ❤️thecure
15330		non-aggressive	0.028	0.972	My bet was right on 5 on a race and i won Dont underestimate me my skillz amp talents realtalk tinogotcocky RT respectthaboi
15331		non-aggressive	0.045	0.955	SteveSchering happy bday pie day amp steak amp blow job day
15332		non-aggressive	0.037	0.963	hotdesert  Good Morning
15333		non-aggressive	0.054	0.946	SB14 bitchessss Not spending it anywhere other than good ole PeCo 😊😎👍👌❤️🏡💕
15334		non-aggressive	0.086	0.914	Bquick3 kwilyums thats what Im known for 😋😉
15335		non-aggressive	0.032	0.968	heyyitsliv  dude im so excited for our night
15336		non-aggressive	0.271	0.729	I aint gonna shut my mouth Dont care if I stand out in the crowd LGD
15337		non-aggressive	0.025	0.975	My hair is just like no today
15338		non-aggressive	0.051	0.949	happy friday happy pi day
15339		non-aggressive	0.043	0.957	“rainnwilson My bad RT BuzzFeed rainnwilson httptcoicKl6TjHMh” CalvinKerns10 ChandlerKerns
15340		non-aggressive	0.065	0.935	FleeBoyAcademy CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15341		non-aggressive	0.137	0.863	I hate when people flip the script about a situation 😒
15342		non-aggressive	0.225	0.775	And my waiter keeps smiling creepy as fuck GET ME OUT OF OHARE PLEASE
15343		non-aggressive	0.105	0.895	Invite the good stuff into your life turnupqueencommandments cc the P L E A S E B E L I E V E homies DjEarnMoney
15344		non-aggressive	0.05	0.95	Going back to sleep for a lil bit
15345		non-aggressive	0.023	0.977	i feel relieved everytime i color my hair
15346		non-aggressive	0.046	0.954	iSpeakEllie either Tyler perry movie or 300  Im leaning with Tyler
15347		non-aggressive	0.462	0.538	i hate niggas that got that dirty ass ugly ass long ass nappy fro lmao
15348		non-aggressive	0.068	0.932	dopemasterswag I told you to come but you were to busy talking to Fran
15349		non-aggressive	0.024	0.976	4 more hours until I hit the road with KeepItOneYanna  Ahhhhh 😍😍😍
15350		non-aggressive	0.013	0.987	On my way to Wacker amp Monroe MarchMadnessWeek Cupcake Special 3 for 5 Bananapudding 3 ButterCookies 5 112pm
15351		non-aggressive	0.021	0.979	Watching 2010 Isle of Weight I like florence in the machines songs but sorry that lady is totally tone deaf live and bad
15352		non-aggressive	0.068	0.932	Always like this song ♫ Face Down by The Red Jumpsuit Apparatus  The Woods httptcowkzpmoBng6
15353		non-aggressive	0.073	0.927	ashmitra1023 timesnow thenewshour how xan he say he will boycott Its media who should do that
15354		non-aggressive	0.044	0.956	Ready to be back in kzoo beerme
15355		non-aggressive	0.063	0.937	Im eating a slurpee I would like to apologize not only to God but to Jesus
15356		non-aggressive	0.043	0.957	Yeah mom good idea httptcolkSUMEJani
15357		non-aggressive	0.017	0.983	So since I havent eaten since 1pm yesterday and threw up my whole stomach I am starving But Im also afraid of food
15358		non-aggressive	0.057	0.943	The bae package is secure Da booboo 💜😍😘💏
15359		non-aggressive	0.049	0.951	Steven amp Aimee are the cutest httptcoOI8kcnTVW5
15360		non-aggressive	0.012	0.988	Paulina is at my apt sleeping while Ive been in class 8  great
15361		non-aggressive	0.092	0.908	If you ALWAYS see people you know at the airport you may be spending too much time at the airport  Gate H11B httptco1UXt0mHu4j
15362		non-aggressive	0.044	0.956	Its PI DAY  Im gonna have pie for lunch
15363		non-aggressive	0.114	0.886	For all of a tree which you can see  theres an equal amount which you dont see
15364		non-aggressive	0.038	0.962	A 1800 number called me telling me I won a cruise and asked me what my name was I replied jack mehoff
15365		non-aggressive	0.128	0.872	Are you a happy camper
15366		non-aggressive	0.072	0.928	Its about time I get to wear these AlmostSpringTime  UIC East Terrace httptcooliEYA4ce0
15367		non-aggressive	0.032	0.968	tadahart ChelseaMiller3 AmandaMarie25 this is the best twitter convo to  wake up too😂😂😂😂
15368		non-aggressive	0.197	0.803	I think sophomore year made me realize a lot of shit about certain individuals
15369		non-aggressive	0.064	0.936	Golfing again⛳️❤️ CZangriles4 kaitlynculver httptcoKFYAhpgiAl
15370		non-aggressive	0.034	0.966	But jerry springer about to come on 😁
15371		non-aggressive	0.071	0.929	Who kicking it with me today😘😘😘😉  I can only be Me💕💖 httptcoZ8uXf01cpn
15372		non-aggressive	0.103	0.897	CAPOFRMSIXO wat is you on sucka pop out
15373		non-aggressive	0.059	0.941	Every time I go on FB is always the same bitches complaining or bragging about something 😒
15374		non-aggressive	0.035	0.965	Finally got to sleep in today HALLELUJAH
15375		non-aggressive	0.018	0.982	Im all for girlpower But good god some of the womens health specialty folks in this program can route every topic to labor amp delivery🙉
15376		non-aggressive	0.016	0.984	Im at ATampT Chicago IL w 2 others httptco2j7LDW7nUf
15377		non-aggressive	0.039	0.961	And I am done
15378		non-aggressive	0.065	0.935	PlanetSwang CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15379		non-aggressive	0.036	0.964	So hungover I need food like right now
15380		non-aggressive	0.082	0.918	Shauneexoxo bdubs Olive Garden idgaffffffff lmao you pick
15381		non-aggressive	0.044	0.956	To urgent care I go
15382		non-aggressive	0.024	0.976	Im so pumped for intersect lock in tonight turntupfriday lol ready
15383		non-aggressive	0.06	0.94	dopemasterswag the line  where we always stand
15384		non-aggressive	0.057	0.943	thatOHbrunette oh hey Thats my city
15385		non-aggressive	0.057	0.943	happy birthday JoeyDaniels18  🎊☺️
15386		non-aggressive	0.071	0.929	Can I get off my floor now or
15387		non-aggressive	0.118	0.882	LiddoShorty10 This is me😭😂😩 httptcoQejfwO6nzf theresaflores1  this is you  lmao  😚❤
15388		non-aggressive	0.015	0.985	My 20 hr a week part time job has turned into a 30 hr a week part time job Not sure how to feel
15389		non-aggressive	0.112	0.888	Im over having kidney issues foreversick 😢😢
15390		non-aggressive	0.024	0.976	GalenGGordon on CincyStreetcar The City is the heart The heart has to pump to get blood to the rest of the body
15391		non-aggressive	0.054	0.946	happy pi day mofos 🍰
15392		non-aggressive	0.027	0.973	Im at Blaine Elementary School Chicago IL httptco5ovPnLEUnr
15393		non-aggressive	0.04	0.96	I think Im going to OD on milk tea when Im back
15394		non-aggressive	0.161	0.839	Hate it when teachers pretend to not know what youre trying to say but they know exactly what youre trying to say
15395		non-aggressive	0.065	0.935	Stardom101Blog CHECK ME OUT Click On The Link gtgtgt httptcoO2F73CZEVN
15396		non-aggressive	0.06	0.94	pitogines hotdesert  Wood Morning
15397		non-aggressive	0.063	0.937	Anybody wanna go out with me tonight I Need to get out
15398		non-aggressive	0.066	0.934	Twilliams45 Kahls cousin Stevens lady friend
15399		non-aggressive	0.08	0.92	Whos ready to get Jack3d this weekend and kill some workouts I know I am RT IF YOU ARE
15400		non-aggressive	0.065	0.935	JPriest10 JMcCunn2 lstew48 wait who answered the phone
15401		non-aggressive	0.019	0.981	Today is the Pi day Albert Einsteins birthday and the Steak amp Blowjob day 😏
15402		aggressive	0.558	0.442	Stupid ass english paper 23 pages ans 4ampup paragraphs Fuck you
15403		non-aggressive	0.077	0.923	Weve all been there before shopgenius indianapolis NordstromRack  FashionFridays httptcov2hWRYFGyF
15404		non-aggressive	0.223	0.777	Same but Im outta gum RT “EmmyChoo Only thing I got for a bitch tonight is dick amp gum BelAirMansionParty”
15405		non-aggressive	0.077	0.923	alexbautechno whats a PC
15406		non-aggressive	0.096	0.904	“LifeCheating httptcoQF4hO7tRXJ” the guy in this pic looks like you totalpackhack
15407		non-aggressive	0.075	0.925	Lookin so fine got me all tongue tied
15408		non-aggressive	0.022	0.978	fitkase my pleasure ☺️ Ill make sure I get an extra good chest and tris session in for you today 😏😍
