id	label	prediction	aggressive_probability	non-aggressive_probability	text
14555		non-aggressive	0.062	0.938	Brizwa21 the Rangers 👎
14556		non-aggressive	0.039	0.961	What should I eat tonight
14557		non-aggressive	0.021	0.979	friendsofbell Parent Party amp Student Art Auction LIVE LAUGH LOVE PLAY Ms Ds 3rd grade project … httptcooy1USgUk26
14558		non-aggressive	0.06	0.94	httptcoEbRmseHlTV for me its a girl
14559		non-aggressive	0.017	0.983	I participated in a giraffe sedation and hoof trimming today ☺️ love my job
14560		non-aggressive	0.047	0.953	Calvin just said he wants to play soccer 😳😳 should I be worried or is it just a phase
14561		non-aggressive	0.188	0.812	Your head aint gonna fit through that tube😏 vicdaamexican vicriverareyes httptcokeQy8QwZ43
14562		non-aggressive	0.057	0.943	FreakyStyl3y waiting for drew because I wouldnt have a ride otherwise
14563		non-aggressive	0.068	0.932	Come to Shelbys w me friends 👐
14564		non-aggressive	0.052	0.948	Getting shut out in the 1st qtr again what a shock
14565		non-aggressive	0.064	0.936	Im poking 💁✌️👏 lol httptco80IKlyWCj7
14566		non-aggressive	0.035	0.965	Drinking a Savant Beersel 2013 by PerennialBeer  West Lakeview Liquors — httptco05a1jmKFFQ
14567		non-aggressive	0.056	0.944	I got issues
14568		non-aggressive	0.037	0.963	My family eats to much fast food
14569		non-aggressive	0.027	0.973	At logans amp I feel like 💩
14570		non-aggressive	0.089	0.911	jvandellen istealhotsauce rpriedy make mine an xtra large
14571		non-aggressive	0.06	0.94	Russia is invading Ukraine Breaking news
14572		non-aggressive	0.154	0.846	LilMoodie lmfao  Your maaddd because yo plans got canceled Not my faulttt 😂😂💁
14573		non-aggressive	0.072	0.928	Me on weekends gtgtgt me not on a weekend
14574		non-aggressive	0.093	0.907	Im feed up with dude
14575		non-aggressive	0.063	0.937	jima6636 KrsChris I’m in RE7Giveaway
14576		non-aggressive	0.028	0.972	justcallmezinky is just so pretty and awesome
14577		non-aggressive	0.04	0.96	so use to scary drivers that charley drives decent and I freaked out 😩
14578		non-aggressive	0.038	0.962	The BourJito at travellechicago Pretty AND yummy  Travelle httptco97taeDIybw
14579		non-aggressive	0.07	0.93	Chubealube emilybrandom  😂😂😂
14580		non-aggressive	0.037	0.963	Party at the airport tooturnt
14581		non-aggressive	0.03	0.97	If I had a dollar for everytime KayySchwayy took a screenshot of one of my snapchats httptcopOX2oN1rve
14582		non-aggressive	0.033	0.967	Taking BrunetteBustyXOs adviceall the bars Hi Chicago lets play this weekend
14583		non-aggressive	0.031	0.969	Drinking an 17 by PerennialBeer  West Lakeview Liquors — httptcoPDZaIMPR02
14584		non-aggressive	0.036	0.964	The joys of being 9 months 💀
14585		non-aggressive	0.068	0.932	group chugging some don perignon nbd myworkgtyourwork threedots ballers  Three Dots and a Dash httptcoQFpuH6OBIX
14586		non-aggressive	0.034	0.966	“Yahoo Daughters Facebook brag costs family 80000 httptco4j3ARHKL0T whos sucking it now baby Snay treatyoself
14587		non-aggressive	0.042	0.958	Am I the only one who does this to their parents grocery list or httptcouMCpXgXeTN
14588		non-aggressive	0.062	0.938	I found you miss new booty 😎
14589		non-aggressive	0.058	0.942	Im about hungry as moosy right now Nom mom nom nom nom delicioso FrenchBarbados
14590		non-aggressive	0.148	0.852	Aint nobody triller
14591		non-aggressive	0.126	0.874	Did you know that the scent of an orange brings out your happy orangeyougladitoldyouthat orange… httptcoNB8iGmcAWd
14592		non-aggressive	0.052	0.948	Lauryn Hill Said Her Heart Is In Zion   Wish Her Heart Was Still In Rhyming  YE
14593		non-aggressive	0.064	0.936	heated blankets are luv
14594		non-aggressive	0.039	0.961	Only 6 12 hours till Justins 20fuck life
14595		non-aggressive	0.047	0.953	This is insane I never feel like Im getting that wrecked
14596		non-aggressive	0.032	0.968	Im at Fontanos Subs Chicago IL httptcoW1z01Zz1Ml
14597		non-aggressive	0.066	0.934	WTF is this  Who lost this animal   Starbucks httptcoezcZd1ZnPm
14598		non-aggressive	0.073	0.927	This girl Kobeyonce just got an and1 and walked over her defender😳😳😳😳
14599		non-aggressive	0.059	0.941	Charlesjenkins7 fmbc new album live recording  Fellowship Missionary Baptist Church httptco2KMCX6mmys
14600		non-aggressive	0.036	0.964	I have the best plan to get the wrestlers back
14601		non-aggressive	0.071	0.929	Its about to be a good ass night
14602		non-aggressive	0.017	0.983	Like we All just wanted to drink tonight amp now theres no where to go 😁
14603		non-aggressive	0.053	0.947	JohnnySisson18 has serious road rage
14604		non-aggressive	0.061	0.939	Popeyes right now
14605		non-aggressive	0.049	0.951	“elviatacoss You changed in so many ways but what can I do Nothing”
14606		non-aggressive	0.172	0.828	netflix hey could u like maybe get se Disney movies like Cinderella
14607		non-aggressive	0.02	0.98	Glad to be back on the good path
14608		non-aggressive	0.169	0.831	StackDatCheese5 you act so different around me
14609		non-aggressive	0.044	0.956	25courtney alexandriatate pinkforkathy httptcowuwxKOZ9Tx
14610		non-aggressive	0.041	0.959	Theres hope for us all to be rich someday httptcovk51hN0rhD
14611		non-aggressive	0.047	0.953	I really really really want wingstop
14612		non-aggressive	0.017	0.983	pretty pathetic that i am tweeting that  730 on a friday but whatever
14613		non-aggressive	0.04	0.96	St Louis this weekend Lunatics nelly and Mardi Gras all day
14614		non-aggressive	0.07	0.93	Tempting
14615		non-aggressive	0.037	0.963	I be wanting to vent but I have no friends whatsoever  And I know my cousins get tired of me
14616		non-aggressive	0.041	0.959	Dinner at the Revolution Brewery with the brothers
14617		non-aggressive	0.081	0.919	These jams on this ride are all throwbacks Definitely got me reminiscing about previous summers
14618		non-aggressive	0.05	0.95	Drinking an Abraxas Barrel Aged by PerennialBeer  West Lakeview Liquors — httptcoS2umA8Z7Vu
14619		non-aggressive	0.09	0.91	What a pussy
14620		non-aggressive	0.093	0.907	AngBreezy Im here and youre there
14621		non-aggressive	0.016	0.984	Im at Café BaBaReeba  cafebabareeba Chicago IL w 6 others httptco5PAzPcxlAD
14622		non-aggressive	0.11	0.89	Why would you have Im a stoner as a ringtone
14623		non-aggressive	0.049	0.951	I need a drink
14624		non-aggressive	0.047	0.953	JacobWhitesides youre so close to indiana crying
14625		non-aggressive	0.055	0.945	Someone give us something to do😊
14626		non-aggressive	0.072	0.928	Wiggle it
14627		non-aggressive	0.405	0.595	alrite then fuck you
14628		non-aggressive	0.034	0.966	Hi  Thanks for favoriting my thickness 👋👋
14629		non-aggressive	0.1	0.9	Tryna make things right💯
14630		non-aggressive	0.211	0.789	my parents are so fucking dumb I hate them
14631		non-aggressive	0.083	0.917	Sonnenzimmer Definitely Going to head down there shortly
14632		non-aggressive	0.051	0.949	If you never do youll never know words of wisdom by Taco Bell lol
14633		non-aggressive	0.086	0.914	Listening to Ciara while working out cuz she gives me motivation
14634		non-aggressive	0.024	0.976	I wish I got ranch for my chicken but I dont feel like going back down to the cafe
14635		non-aggressive	0.1	0.9	do you ever start crying and get mad about it so you cry more
14636		non-aggressive	0.027	0.973	Not bad at all for a cheap easy drinking 69 ABV  Drinking a Miller Fortune  Fuddruckers  httptcoRD8tp9REl7 photo
14637		non-aggressive	0.039	0.961	Wonder how my mom would Treat my sister  If we was the same age  😂 Porbably no different  Smh
14638		non-aggressive	0.048	0.952	Greatest pizza on earth  loumalnatis
14639		non-aggressive	0.032	0.968	Everytime I come its something
14640		non-aggressive	0.07	0.93	wreckingball 🎶🎵🎶🎵🎶
14641		non-aggressive	0.251	0.749	I can I have any nigga I want  even the conceited niggas httptcoTe4AGPHo2T
14642		non-aggressive	0.223	0.777	LilMoodie Getcho dumb ass  😂😂😂
14643		non-aggressive	0.073	0.927	I lose all control when I see you standing there in front of me
14644		non-aggressive	0.034	0.966	But really Slami and I have never been out in Chicago This will be fun
14645		non-aggressive	0.076	0.924	Anyone with a Lostprophets tattoo must feel real dumb
14646		non-aggressive	0.087	0.913	Drove past a PizzaPapalis and not eating there Life is pain
14647		non-aggressive	0.209	0.791	Wow Im such a soft ass dude when it comes to crystal hahaha
14648		non-aggressive	0.069	0.931	probably
14649		non-aggressive	0.073	0.927	ChefJonAshton hey Jon you making a batch of Scouse on Global Scouse day
14650		non-aggressive	0.035	0.965	Cant believe its been 5 years
14651		non-aggressive	0.035	0.965	“EnriqueConnner Its weird how you can text someone every single day for months and all of sudden it just stops”
14652		non-aggressive	0.064	0.936	I really dont like to when things are easy therefore I try my hardest to make it as hard on myself as possible when will I learn
14653		non-aggressive	0.052	0.948	Eastern Hancock and Hagerstown about to play in the regularseason finale for both Teams will also play each other Wed in the sectional
14654		non-aggressive	0.398	0.602	Nigga you aint said nun but a word
14655		non-aggressive	0.237	0.763	GeeGee022 JZEUS56 nah bitch I text him and it wouldnt even send
14656		non-aggressive	0.108	0.892	Lifes got me all sorts of fucked up right now
14657		non-aggressive	0.013	0.987	On the way to Mardi Gras  Chicago Midway International Airport MDW w 78 others httptcoaXjpR0Qzdb
14658		non-aggressive	0.068	0.932	Art  Unknown httptcoMg4YGfDRcs
14659		non-aggressive	0.087	0.913	Like my life is always a idk if this is a good idea
14660		non-aggressive	0.041	0.959	LBond35 what are we dealing with in this van right now 😂
14661		non-aggressive	0.057	0.943	inaarez lol do you refuse to tweet his name or something
14662		non-aggressive	0.031	0.969	Morning ever goes in my favor
14663		non-aggressive	0.081	0.919	To me opening up to people is so challenging
14664		non-aggressive	0.028	0.972	Stuck on the tarmac This day has been horrendous for travel One issue after another I guess itll keep me out httptcolfv0X3tY1Y
14665		non-aggressive	0.069	0.931	Miseducation Of Lauryn Hill Is A CLASSIC 😍
14666		non-aggressive	0.027	0.973	Feeling the love from Illinois kidshope  Belvedere USA httptcoQcZRxT4YU6
14667		non-aggressive	0.069	0.931	Every dog need a cat to meow
14668		non-aggressive	0.069	0.931	Gerald turn EVERYTHING freaky 😑😑
14669		non-aggressive	0.035	0.965	Nothing ever goes in my favor
14670		non-aggressive	0.059	0.941	Curie couldnt have something nice
14671		non-aggressive	0.171	0.829	If someone supply me with blunts We can get a nice little session going
14672		non-aggressive	0.043	0.957	Welcome AnneKellerWrite  thanks for following
14673		non-aggressive	0.03	0.97	I love people who can tweet on point alllll the time 👌
14674		non-aggressive	0.075	0.925	marklevinshow How indignified
14675		non-aggressive	0.059	0.941	Talk dirty to meeee
14676		non-aggressive	0.019	0.981	MarkOther no Im just use to saying Isaiahs dad at work I guess lol
14677		non-aggressive	0.06	0.94	My boyfriend stayyys having me ctfu lol 😂😂😁 ✋
14678		non-aggressive	0.025	0.975	I miss my Twin we so phony Cmgpepe
14679		non-aggressive	0.084	0.916	otterN9NE excited to have you as a STLBlues look forward to playoff time StLouisBlues
14680		non-aggressive	0.083	0.917	AngBreezy  Ima try to get to Danville
14681		non-aggressive	0.073	0.927	“MissinStro SHATON 😩😂😂 U NEED 2 QUIT”😫😫😫 okay
14682		non-aggressive	0.018	0.982	Mizzou hopes for school record 6th consecutive NCAA birth to remove sour taste of 1st rnd loss last yr amp yr before last amp yr before that
14683		non-aggressive	0.045	0.955	Chicago has been yinzvaded
14684		non-aggressive	0.049	0.951	So the blues trade for like a 40 year old goalie Fair enough
14685		non-aggressive	0.055	0.945	Tempted to touch tempted to touch
14686		non-aggressive	0.011	0.989	Nashgrier and CameronDallas I lie in Chicago I am with my friends Hannah Marie Alejandra and Jessica We love you so much 💜
14687		non-aggressive	0.054	0.946	GloryPhillips I did  What Picture
14688		non-aggressive	0.035	0.965	I flipping love classic loony tunes
14689		non-aggressive	0.027	0.973	REAL👌ArmadaleVodka “Flyerthanu2 Armadale I havent seen any of that since 06” here ya go    httptco300CJEPHJD
14690		non-aggressive	0.094	0.906	kmullark where are you
14691		non-aggressive	0.021	0.979	4 WEEKS UNTIL I LEAVE FOR COLORADOOOO
14692		non-aggressive	0.055	0.945	My spicy mexican💖💁 httptco5B3gOUm1AW
14693		non-aggressive	0.072	0.928	Serratosx23 what those queers do
14694		non-aggressive	0.02	0.98	Catch me on ESPN 2 tonight sporting this sexy outfit for Friday Night Fights being a ring girl 😘… httptcohrKcML6L10
14695		non-aggressive	0.077	0.923	Treybeast25 TURN UP FOR WHAT
14696		non-aggressive	0.091	0.909	Shell have you on your knee can I marry you 💍
14697		non-aggressive	0.055	0.945	DEONTAE JUST CUFFED KHAM OMFG
14698		non-aggressive	0.059	0.941	JeffRosin I was gonna get an a4 but I just found an s4 I gotta get
14699		non-aggressive	0.094	0.906	Im too tired to even care
14700		non-aggressive	0.069	0.931	WHY DOESNT ANYONE WANT TO DRINK WITH ME
14701		non-aggressive	0.096	0.904	kswartzlander this sounds like the start of a playlist to me
14702		non-aggressive	0.085	0.915	I would rock the hell outta these       httptcofhq7dfCGET
14703		non-aggressive	0.178	0.822	The world is full of nice people If you cant find one be one
14704		non-aggressive	0.065	0.935	Chillen with the Main  boyfriend httptcotG0Eo9sthv
14705		non-aggressive	0.083	0.917	amflores are you going to the game
14706		non-aggressive	0.062	0.938	inaarez Isaiah coming home with a fade tonight
14707		non-aggressive	0.058	0.942	Second recording of Friday night podcast tonight Coming soon to an internet near you
14708		non-aggressive	0.201	0.799	SERIOUSLY FUCK THIS SHITV
14709		non-aggressive	0.052	0.948	My new friend 👌😁😁 xxJazmineee
14710		non-aggressive	0.06	0.94	Eastern Hancock and Hagerstown warming up for boys varsity action HoosierHoopHysteria httptcooKhemtz0dA
14711		non-aggressive	0.103	0.897	Im a tomboy that gets real excited about new shampoos 👍
14712		non-aggressive	0.192	0.808	Your sister is even cooler than you
14713		non-aggressive	0.143	0.857	Why  I didnt follow my first mind probably why im going thur shit now TrynaBNice
14714		non-aggressive	0.08	0.92	Tyler doesnt think Im funny but in reality Im HILARIOUS😂
14715		non-aggressive	0.061	0.939	New Kendrick Lamar this September 🙊🙈🙉
14716		non-aggressive	0.014	0.986	If it werent for girlscoutcookies my day would have been good  A doctorow story and a box of samoas after work and my day was perfect
14717		non-aggressive	0.046	0.954	Drinking fast between flights  Illinois Bar amp Grill pic httptconbGFiBijwT
14718		non-aggressive	0.087	0.913	Dammit Greta you just said Russia is invading then you change the topic
14719		non-aggressive	0.031	0.969	The new  300  movie comes out next Friday 😝
14720		non-aggressive	0.085	0.915	You dont need to bother I dont need to be  Ill keep slipping farther But once I hold on I wont let go til it bleeds
14721		non-aggressive	0.012	0.988	Does my professor know that I only have 20 a semester to print for ALL of my classes plus this stupid lab Just no Quit being annoying
14722		non-aggressive	0.036	0.964	I was doing 75 down central oh thought it was 30 little more than 30
14723		non-aggressive	0.04	0.96	Got my apartment keys today sohappy
14724		non-aggressive	0.052	0.948	MAGCONTOUR come to indy
14725		non-aggressive	0.013	0.987	But I always end up doing it and it always ends up back firing but at the end it makes my life interesting and entertaining So oh well
14726		non-aggressive	0.017	0.983	I have realllly been slackin on OnceABC Taking this Friday night to catch up Such a great show
14727		non-aggressive	0.06	0.94	I just wanna fucknun personal 😝👅💦💦💦
14728		non-aggressive	0.085	0.915	ThingsThatDriveBetterThanMadison A staircase
14729		non-aggressive	0.028	0.972	I been in my own laneNeva did what Otha ppl do
14730		non-aggressive	0.227	0.773	Fuck being NICE
14731		non-aggressive	0.039	0.961	jbm436 yeah but my mom went to change her check she will be back ima few
14732		non-aggressive	0.052	0.948	MarkOther no hes not
14733		non-aggressive	0.045	0.955	ashleyyfinnerty PapaCliff44 good pic of me
14734		non-aggressive	0.018	0.982	5 hours of airport appreciation help  Chicago Midway International Airport MDW w 77 others httptcoR4vpa7ckn4
14735		non-aggressive	0.086	0.914	Yea ok😂😂DeepChrisJay Lmfao RT BlkSportsOnline BSO Chad Johnson Claims He Almost Beat Up Ray LewisTwice httptcop0FftU07xH
14736		non-aggressive	0.063	0.937	jima6636 I’m in RE7Giveaway
14737		non-aggressive	0.146	0.854	I hate how every time I touch a cat my face freaking swells up hatebeingallergic
14738		non-aggressive	0.132	0.868	Yea nigga
14739		non-aggressive	0.08	0.92	brimarie115 Im going to do that to
14740		non-aggressive	0.161	0.839	Fuck it I tired
14741		non-aggressive	0.053	0.947	nutella hot chocolate is amazing❤️
14742		non-aggressive	0.042	0.958	Rejected even in 2011 SamWilliamsBSM httptcodkKKbJ8O1n
14743		non-aggressive	0.201	0.799	Sorry to burst your bubble guys but you dont have to meet EVERYONE I talk to
14744		non-aggressive	0.029	0.971	Girls District 29 OC 45 South 41 131 4th Long way from over
14745		non-aggressive	0.085	0.915	“iHateSlowWiFi I will be getting this 🙌🙌🙌 httptcoObicCCC50P”on me
14746		non-aggressive	0.049	0.951	Omg the smell of cigarettes
14747		non-aggressive	0.084	0.916	Plot twist Madisons not even driving
14748		non-aggressive	0.064	0.936	Thats my key
14749		non-aggressive	0.024	0.976	i swear everytime i come around my family i just wanna move back to chicago😩😪💔
14750		non-aggressive	0.035	0.965	My plans for the weekend httptcoK8StU1pupp
14751		non-aggressive	0.013	0.987	Come March 1st its time to start looking for the perfect birthday outfits 😁☺️😜
14752		non-aggressive	0.041	0.959	Is that sus or no
14753		non-aggressive	0.068	0.932	gretawire  He cant find his red pencil with the big erAser
14754		non-aggressive	0.07	0.93	darrenskeeper lol  Thank You 😊
14755		non-aggressive	0.043	0.957	This is what happens when I cant leave the school and I have my backpack amp time  Art Killuminati  GHHS  Me httptcosEqc3lSDT6
14756		non-aggressive	0.056	0.944	joannakadela omg I want to but Megs going to a concert
14757		non-aggressive	0.081	0.919	Ive met some fantastic people lately
14758		non-aggressive	0.05	0.95	inaarez lmao I cant imagine luigi taking isaiah for a cut and getting anything else
14759		non-aggressive	0.028	0.972	Congrats to meghansantella for deciding on Notre Dame I know its your dream and youve worked so hard Im so happy for you
14760		non-aggressive	0.042	0.958	Taking my cousin to prom
14761		non-aggressive	0.346	0.654	You bet your sweet ass I already freaked out
14762		non-aggressive	0.041	0.959	brandonblack jayteague billthompsonjr in for a Stanley Cup amp a World Series Trophy StLouisBlues Cardinals
14763		non-aggressive	0.094	0.906	amp we aint gone hurt no moreeeee ✔️
14764		non-aggressive	0.031	0.969	Money just changed everything I wonder how life without it would go
14765		non-aggressive	0.055	0.945	Maybe Like 10 now
14766		non-aggressive	0.041	0.959	I havent heard this song in a minute
14767		non-aggressive	0.027	0.973	My iPad seriously just fell on my phone and cracked my screen 😑
14768		non-aggressive	0.025	0.975	Is that a diacetyl party in my mouth  Drinking a Wavehopper by bigbaybrewing  Koam Fixture  — httptcofrbxEFk51p photo
14769		non-aggressive	0.049	0.951	Thrift stores are too much fun 😂😂😂😂👍
14770		non-aggressive	0.068	0.932	Never rocked skinny jeans but ya girl still jerkin  swag
14771		non-aggressive	0.194	0.806	Bruh you smell like a soup kitchen
14772		non-aggressive	0.069	0.931	GloryPhillips want me to reupload it
14773		non-aggressive	0.036	0.964	Hurried McMurtrey 3 leads to South run out Van Zant to Schumm for a layup that cuts the lead to 4
14774		non-aggressive	0.023	0.977	I want Florindas so my family is getting Florindas princessstatus
14775		non-aggressive	0.078	0.922	LilMoodie 😂😂😂 but i am You can gone head and httptcoAne5r1tInn
14776		non-aggressive	0.114	0.886	Finally getting out of this fucking state Saint Louis here we come SLU mardigras
14777		non-aggressive	0.088	0.912	Gettin me some food 😋
14778		non-aggressive	0.083	0.917	Fingers crossed that there will be food
14779		non-aggressive	0.06	0.94	Oooohhhh MileyCyrus I knewwwww you had a little gay in you😜💜💖👭
14780		non-aggressive	0.119	0.881	Madison passed out and still got a contractunlike Brady  Austin Herald
14781		non-aggressive	0.03	0.97	Whoa “coslive The greatest remix of 2014 involves Jeff Goldblum’s Jurassic Park laugh httptcoMx5mZAYMnJ”
14782		non-aggressive	0.23	0.77	DennisSabanovic dont do anything to fuck up tonight
14783		non-aggressive	0.188	0.812	“postabadbitch her ass in them leggings tho httptco8HPnPUo6FT”gadamn
14784		non-aggressive	0.126	0.874	this some bullshit get grounded today cause my fucking grades 👎😑😤
14785		non-aggressive	0.076	0.924	Cmon Eileen 🎶❤️
14786		non-aggressive	0.052	0.948	YAAAAAS IM GOING TO SEE cher JUNE IN CHICAGO 💙💙
14787		non-aggressive	0.061	0.939	SoRonnieSaid got any cases you wanna sell for the 5 ☺️
14788		non-aggressive	0.413	0.587	Satanicbae JasonStishSebek you think I give a fuck Nah
14789		non-aggressive	0.07	0.93	Dedicated eshotsinc cold workinglate fridayfun  Eshots Inc httptcobqcRoZi1g4
14790		non-aggressive	0.052	0.948	When we were looking at all the derpy stuffed animals there was this crazy old lady with like THREE OVERFLOWING CARTS OF TEDDY BEARS
14791		non-aggressive	0.039	0.961	why am I still in the stl
14792		non-aggressive	0.079	0.921	WorldOfHannah Thats called Hobo Stee
14793		non-aggressive	0.026	0.974	Im at Law Office Of Criminal Defense Attorney Edward David Johnson III Chicago IL httptco55OKayRU5a
14794		non-aggressive	0.033	0.967	GPakeltis its my favorite part of anatomy
14795		non-aggressive	0.016	0.984	Im at Five Star Bar Chicago IL w 2 others httptcozfPawVMwfk
14796		non-aggressive	0.071	0.929	Bout to go get King
14797		non-aggressive	0.208	0.792	Im starting to think you dont want to meet me bummed
14798		non-aggressive	0.116	0.884	Happy belated birthday ChelseaClinton your dads a legend
14799		non-aggressive	0.063	0.937	My grandpa talks a lot
14800		non-aggressive	0.04	0.96	New on this twitter thing
14801		non-aggressive	0.052	0.948	Huge shout out to MelodyThomasSco for her work with therealraywise this week YR
14802		non-aggressive	0.049	0.951	I was Finna say  Markayla flooding my tl but then I realized I was on her page
14803		non-aggressive	0.065	0.935	From the concrete who knew that a flower would grow
14804		non-aggressive	0.083	0.917	DeepChrisJay he wouldnt even be on here with an active profile lol
14805		non-aggressive	0.091	0.909	AYBAYBAAY were blacking out Idc
14806		non-aggressive	0.009	0.991	So happy my dad brought home my dream car from the dealership tonight and all I can do is look 😭
14807		non-aggressive	0.068	0.932	Im way too excited to get a little next semester 😍👑
14808		non-aggressive	0.032	0.968	FREE BOOSIE SO WE CAN SEE HIM AT SXSW
14809		non-aggressive	0.017	0.983	Im at Old Town School of Folk Music for Marshall Crenshaw and Bottle Rockets Chicago IL httptcop954fkAmtw
14810		non-aggressive	0.141	0.859	AlisonMeindl bought me a North Face jacket HappyFriday lateChristmas InLove httptcoJExckxZZ6K
14811		non-aggressive	0.028	0.972	MarkOther we already talked about it before I even agreed to let him take him lol
14812		non-aggressive	0.024	0.976	dizzyfeet was in our rehearsal at HubbardStreet today httptcoduejXBI1Lb
14813		non-aggressive	0.005	0.995	This is the first time my family will ever go on a trip for spring break I am so excited
14814		non-aggressive	0.033	0.967	No one has anything on this group right here 👌❤️
14815		non-aggressive	0.031	0.969	ASHtrologyxo varsity at 630
14816		non-aggressive	0.04	0.96	My nose feel stuffed 😩
14817		non-aggressive	0.027	0.973	On top of the world with angiejachniw at the Signature Room Chicity httptcoLDk9ClJCU5
14818		non-aggressive	0.061	0.939	Cam is conceited
14819		non-aggressive	0.015	0.985	So glad to hear the guys had a good time on kairos
14820		non-aggressive	0.054	0.946	I be missing the kid
14821		non-aggressive	0.073	0.927	Why dont noone believe that I played water polo WYD
14822		non-aggressive	0.031	0.969	MelissaDuVall lolol I love it
14823		non-aggressive	0.03	0.97	I love road trips
14824		non-aggressive	0.053	0.947	Ryan Miller and Steve Ott to STL 😳
14825		non-aggressive	0.064	0.936	Uh oh Godfather martini  Martys Martini Bar  martysbar httptcoWvBWh12hox
14826		non-aggressive	0.062	0.938	When I hear wild for the night I just think of the wiz and ASAP concert Holy shit take me back
14827		non-aggressive	0.026	0.974	I hope theres something I can actually ingest at the cafe
14828		non-aggressive	0.057	0.943	Comcastcamille yes that would be great
14829		non-aggressive	0.058	0.942	Pod 3 if you want to behold its majesty IRL
14830		non-aggressive	0.051	0.949	Faith Christian Eagles vs Benton Central Bison  Benton Central JrSr High School httptcoF3q0XPUzoz
14831		non-aggressive	0.015	0.985	I feel like his step dad feels us judging him just by the looks we give eachother 👀👀😂
14832		non-aggressive	0.059	0.941	Beyond ready for a girls night 💕
14833		non-aggressive	0.076	0.924	This is unbelievable
14834		non-aggressive	0.067	0.933	KingJames was hilarious with jimmyfallon  wastepaperbasketball off the IT guy lmfao 😂😂😂😂
14835		non-aggressive	0.038	0.962	Lifting weights to Tears for Fears Everybody Wants to Rule the World Is that weird
14836		non-aggressive	0.088	0.912	“nytimes Kosovo Gets a Game but Still Struggles to Build a Team httptcozaoE0DtcfM” Sweet I just want a jersey dont wanna watch
14837		non-aggressive	0.058	0.942	That new car smell gtgtgtgtgt
14838		non-aggressive	0.019	0.981	so its my first time at berniosryanbroton
14839		non-aggressive	0.058	0.942	AndreaTantaros Has Putin stopped laughing yet
14840		non-aggressive	0.021	0.979	The Sabres now possess 10 picks in the first two rounds of the 2014 and 2015 Drafts combined  FireSale Rebuild
14841		non-aggressive	0.039	0.961	Its raining beer on Jeffguerrero  Threadless HQ httptcogFulxfGPDy
14842		non-aggressive	0.051	0.949	I had something so rare but I screwed it up and I cant get it back
14843		non-aggressive	0.059	0.941	Goodluck tonight boys 💕🏀
14844		non-aggressive	0.078	0.922	Serratosx23 I dont think so He needs good grades to even get a scholarship haha
14845		non-aggressive	0.063	0.937	adom92 markstidham1 Im in Lansing nig
14846		non-aggressive	0.046	0.954	Im not friends with too many from my school rs
14847		non-aggressive	0.094	0.906	“thepaulhenry When are we getting one of these  theSVHenry theMLucas httptco6qKDCTcZR0” thats cooler than big country
14848		non-aggressive	0.097	0.903	Hate seeing people from my school down my TL Make me think of school
14849		non-aggressive	0.07	0.93	FRIDAYFRIDAYGETTINDOWNONFRIDAY
14850		non-aggressive	0.148	0.852	I always ask people how theyre doing and then like forget to listen
14851		non-aggressive	0.05	0.95	zachariahr11 I might 😋
14852		non-aggressive	0.05	0.95	tmthomas12 we are going lizarding tonight😏😂
14853		non-aggressive	0.102	0.898	No actually I wont turn my music off ass wad
14854		non-aggressive	0.029	0.971	I know its Friday nite but GOBLUE BEATOHIO B1GHockey  Wheres Tebow
14855		non-aggressive	0.057	0.943	Happy birthday McCluckFuck RMcCuskey
14856		non-aggressive	0.042	0.958	Id be pissed if I was on this curie team and actually passing my classes seasongone somuchforbeingnumber1 nocitychampionship
14857		non-aggressive	0.069	0.931	amflores oh alright
14858		non-aggressive	0.078	0.922	AudreyAnnD thanks babe 😂 you do too
14859		non-aggressive	0.041	0.959	OC 4543 541 4th after a Van Zant jumper Schumm fouls out for South
14860		non-aggressive	0.137	0.863	I always ask people how theyre doing and then like forget to listen to their answer
14861		non-aggressive	0.066	0.934	Tomorrows going to be fun
14862		non-aggressive	0.156	0.844	RubyRubypatel I hate you Its not funny 🔫
14863		non-aggressive	0.041	0.959	16 more days till Italy ✈️🇮🇹
14864		non-aggressive	0.042	0.958	I worry about my dad when he watches wheel of fortune
14865		non-aggressive	0.039	0.961	I hate when my boyfriend goes plays soccer for 34 hours D
14866		non-aggressive	0.096	0.904	and now Im sitting here alone on a Friday night watching freaking Hercules I dont even like Greek mythology
14867		non-aggressive	0.024	0.976	Miley pulled a Darius Rucker and ruined one of the best songs ever made by the one of the greatest duos ever to exist
14868		non-aggressive	0.058	0.942	JRobes1 Chidatarod is going to be rough tomorrow
14869		non-aggressive	0.052	0.948	The Saturday plan is still a go guys
14870		non-aggressive	0.029	0.971	My only complaint is why Victor is not in the story Nikki is his wife an the love of his life He needs to forget about Connor YR
14871		non-aggressive	0.061	0.939	Im on nat tonighttttttt
14872		non-aggressive	0.035	0.965	Every time I drink with bay I cry So Ill probably cry tonight
14873		non-aggressive	0.056	0.944	That was fun 😏
14874		non-aggressive	0.054	0.946	Omars dorm is actually pretty chill
14875		non-aggressive	0.085	0.915	LiddoLam whatcha thinking Text me
14876		non-aggressive	0.018	0.982	Its cold but its worth it StadiumSeries at SoldierField w 3 others pic httptcoXaakBkU9KK
14877		non-aggressive	0.139	0.861	JZEUS56 JetlifeRuiz GeeGee022 then whos phone did you call me off of 2 days ago
